Recipient,Armament category,Delivery year,Total TIV
Argentina,Aircraft,2007,5.24
Argentina,Aircraft,2013,5.0
Argentina,Aircraft,2011,1.4
Argentina,Aircraft,2012,2.1
Argentina,Sensors,1990,7.5
Argentina,Aircraft,1992,18.4
Argentina,Aircraft,1992,2.0
Argentina,Aircraft,1995,18.0
Argentina,Aircraft,1995,9.0
Argentina,Aircraft,1997,17.8
Argentina,Aircraft,1990,0.75
Argentina,Aircraft,1990,2.1
Argentina,Missiles,2003,0.21
Argentina,Missiles,2002,0.21
Argentina,Sensors,1997,8.0
Argentina,Missiles,2002,11.0
Argentina,Missiles,2003,11.0
Argentina,Aircraft,2009,7.92
Argentina,Aircraft,2008,7.92
Argentina,Aircraft,2001,0.3
Argentina,Sensors,1996,9.0
Argentina,Engines,1990,3.6
Argentina,Engines,1999,0.6
Argentina,Aircraft,2024,10.4
Argentina,Aircraft,2024,2.2
Argentina,Aircraft,2023,1.1
Argentina,Aircraft,2022,7.92
Australia,Missiles,2019,2.0
Australia,Missiles,2023,10.0
Australia,Missiles,2024,10.0
Australia,Missiles,2020,5.0
Australia,Missiles,2022,10.0
Australia,Missiles,2021,10.0
Australia,Other,1995,12.0
Australia,Other,1994,3.0
Australia,Other,1996,4.8
Australia,Aircraft,2021,40.0
Australia,Aircraft,2022,40.0
Australia,Missiles,2023,5.0
Australia,Missiles,2024,10.0
Australia,Missiles,2022,2.5
Australia,Other,1996,8.4
Australia,Naval weapons,2007,20.0
Australia,Naval weapons,2006,20.0
Australia,Naval weapons,2008,40.0
Australia,Engines,2014,7.0
Australia,Engines,2015,7.0
Australia,Armoured vehicles,1991,5.04
Australia,Aircraft,2015,120.0
Australia,Aircraft,2016,360.0
Australia,Aircraft,2017,240.0
Australia,Aircraft,2011,0.5
Australia,Aircraft,2012,0.5
Australia,Missiles,2012,32.0
Australia,Missiles,2011,32.0
Australia,Missiles,2013,39.68
Australia,Missiles,2010,32.0
Australia,Missiles,2009,30.72
Australia,Aircraft,2015,280.0
Australia,Engines,2016,7.5
Australia,Aircraft,2015,140.0
Australia,Aircraft,2016,60.0
Australia,Engines,2008,4.4
Australia,Engines,2007,4.4
Australia,Engines,2006,4.4
Australia,Naval weapons,2015,14.0
Australia,Naval weapons,2016,14.0
Australia,Naval weapons,2018,14.0
Australia,Naval weapons,2019,7.0
Australia,Naval weapons,2020,7.0
Australia,Naval weapons,2021,7.0
Australia,Aircraft,1990,91.0
Australia,Aircraft,1991,6.5
Australia,Missiles,2008,20.0
Australia,Missiles,2006,19.0
Australia,Missiles,2010,10.0
Australia,Missiles,2014,15.0
Australia,Aircraft,2005,5.7
Australia,Aircraft,2006,2.85
Australia,Aircraft,2012,8.4
Australia,Missiles,2009,10.0
Australia,Missiles,2008,10.0
Australia,Missiles,2006,2.5
Australia,Missiles,2007,2.5
Australia,Aircraft,2008,140.0
Australia,Aircraft,2006,140.0
Australia,Aircraft,2007,280.0
Australia,Ships,1992,300.0
Australia,Ships,1993,300.0
Australia,Aircraft,1990,120.0
Australia,Armoured vehicles,2016,12.0
