Recipient,Delivery year,Armament category,Total TIV
Colombia,2024,Aircraft,0.26
Colombia,2024,Armoured vehicles,18.24
Congo,2010,Engines,0.96
Congo,2021,Engines,0.3
Costa Rica,2018,Armoured vehicles,0.18
Costa Rica,2019,Aircraft,7.5
Croatia,1997,Aircraft,7.0
Croatia,2001,Sensors,55.0
Croatia,2014,Armoured vehicles,21.64
Croatia,2016,Aircraft,19.2
Croatia,2016,Armoured vehicles,0.77
Croatia,2017,Missiles,2.5
Croatia,2018,Missiles,2.5
Croatia,2022,Aircraft,29.0
Cyprus,1990,Aircraft,7.85
Cyprus,1997,Aircraft,5.0
Czechia,2000,Engines,2.0
Czechia,2001,Engines,35.0
Czechia,2002,Engines,21.0
Czechia,2002,Missiles,2.4
Czechia,2003,Engines,14.0
Czechia,2005,Engines,30.8
Czechia,2005,Missiles,9.6
Czechia,2006,Missiles,0.36
Czechia,2008,Missiles,14.4
Czechia,2009,Engines,0.85
Czechia,2010,Engines,1.5
Czechia,2011,Engines,1.6
Czechia,2012,Engines,1.15
Czechia,2013,Engines,0.25
Czechia,2015,Aircraft,0.4
Czechia,2018,Aircraft,1.6
Czechia,2018,Missiles,1.5
Czechia,2019,Engines,0.2
Czechia,2020,Engines,0.8
Czechia,2023,Aircraft,71.0
Czechia,2023,Missiles,0.7
Czechia,2024,Aircraft,39.0
Czechia,2024,Engines,2.4
Côte d'Ivoire,1992,Aircraft,0.28
Côte d'Ivoire,2022,Armoured vehicles,1.72
Dem. Rep. Congo,2009,Aircraft,28.0
Dem. Rep. Congo,2018,Aircraft,0.56
Dem. Rep. Congo,2020,Aircraft,6.2
Dem. Rep. Congo,2024,Engines,2.0
Denmark,1990,Engines,1.5
Denmark,1990,Missiles,1.25
Denmark,1991,Engines,1.5
Denmark,1991,Missiles,13.4
Denmark,1992,Armoured vehicles,6.25
Denmark,1992,Engines,3.0
Denmark,1992,Missiles,12.15
Denmark,1993,Armoured vehicles,6.25
Denmark,1993,Engines,3.0
Denmark,1994,Aircraft,24.78
Denmark,1994,Engines,3.0
Denmark,1994,Missiles,22.4
Denmark,1995,Engines,1.5
Denmark,1995,Missiles,22.4
Denmark,1995,Sensors,1.5
Denmark,1996,Aircraft,8.0
Denmark,1996,Engines,1.5
Denmark,1996,Missiles,22.4
Denmark,1996,Sensors,4.5
Denmark,1997,Aircraft,33.04
Denmark,1997,Missiles,17.6
Denmark,1997,Sensors,13.5
Denmark,1998,Artillery,4.8
Denmark,1998,Missiles,39.54
Denmark,1998,Sensors,21.0
Denmark,1999,Artillery,4.8
Denmark,1999,Engines,3.2
Denmark,1999,Missiles,5.94
Denmark,1999,Sensors,21.0
Denmark,2000,Missiles,6.12
Denmark,2000,Sensors,21.0
Denmark,2001,Artillery,4.8
Denmark,2001,Engines,6.4
Denmark,2001,Missiles,6.12
Denmark,2001,Sensors,16.0
Denmark,2002,Missiles,5.94
Denmark,2002,Sensors,6.0
Denmark,2003,Missiles,5.94
Denmark,2003,Sensors,2.5
Denmark,2004,Aircraft,120.0
Denmark,2004,Missiles,14.74
Denmark,2004,Naval weapons,3.47
Denmark,2004,Sensors,5.0
Denmark,2005,Missiles,18.740000000000002
Denmark,2005,Naval weapons,3.47
Denmark,2006,Missiles,8.46
Denmark,2007,Aircraft,40.0
Denmark,2007,Engines,0.15
Denmark,2007,Missiles,25.24
Denmark,2007,Sensors,22.0
Denmark,2008,Engines,0.33
Denmark,2008,Sensors,3.0
Denmark,2009,Engines,0.39
Denmark,2011,Armoured vehicles,5.6
Denmark,2012,Missiles,12.2
Denmark,2012,Naval weapons,20.0
Denmark,2013,Missiles,8.0
Denmark,2013,Naval weapons,20.0
Denmark,2014,Missiles,8.0
Denmark,2014,Naval weapons,20.0
Denmark,2015,Engines,33.8
Denmark,2015,Missiles,8.0
Denmark,2016,Aircraft,66.0
Denmark,2016,Engines,31.2
Denmark,2016,Missiles,6.2
Denmark,2017,Aircraft,49.5
Denmark,2017,Armoured vehicles,0.84
Denmark,2017,Missiles,3.0
Denmark,2018,Aircraft,33.0
Denmark,2018,Armoured vehicles,3.15
Denmark,2020,Missiles,2.88
Denmark,2021,Aircraft,220.0
Denmark,2022,Aircraft,110.0
Denmark,2022,Missiles,19.8
Denmark,2023,Aircraft,220.0
Denmark,2023,Missiles,8.5
Denmark,2024,Aircraft,385.0
Denmark,2024,Missiles,8.5
Djibouti,1991,Aircraft,1.0
Djibouti,2014,Armoured vehicles,5.3
Djibouti,2016,Armoured vehicles,0.98
Djibouti,2019,Armoured vehicles,7.02
Dominican Rep.,1996,Ships,4.0
Dominican Rep.,1998,Aircraft,6.29
Dominican Rep.,2001,Aircraft,0.64
Dominican Rep.,2001,Ships,4.0
Dominican Rep.,2002,Aircraft,0.38
Dominican Rep.,2003,Aircraft,2.97
Dominican Rep.,2003,Ships,6.0
Dominican Rep.,2004,Aircraft,26.990000000000002
Dominican Rep.,2004,Ships,9.0
Dominican Rep.,2015,Aircraft,0.5
Dominican Rep.,2016,Aircraft,0.25
Dominican Rep.,2020,Ships,4.25
Dominican Rep.,2022,Aircraft,5.22
Dominican Rep.,2023,Aircraft,5.52
Dominican Rep.,2024,Aircraft,1.0
Ecuador,1990,Aircraft,3.36
Ecuador,1991,Ships,21.0
Ecuador,1993,Aircraft,18.4
Ecuador,1994,Aircraft,4.0
Ecuador,1995,Sensors,22.0
Ecuador,1997,Aircraft,43.0
Ecuador,1998,Aircraft,5.8
Ecuador,2002,Aircraft,0.3
Ecuador,2005,Engines,2.0
Ecuador,2009,Aircraft,0.5
Ecuador,2010,Aircraft,2.81
Ecuador,2010,Naval weapons,7.0
Ecuador,2014,Aircraft,2.56
Ecuador,2021,Aircraft,1.1
Ecuador,2023,Aircraft,1.28
Ecuador,2024,Aircraft,11.2
Ecuador,2024,Engines,0.48
Egypt,1990,Aircraft,83.0
Egypt,1990,Armoured vehicles,260.0
Egypt,1990,Missiles,70.5
Egypt,1990,Sensors,15.0
Egypt,1991,Air-defence systems,25.0
Egypt,1991,Aircraft,155.0
Egypt,1991,Armoured vehicles,377.0
Egypt,1991,Missiles,84.76
Egypt,1991,Sensors,192.8
Egypt,1992,Aircraft,554.0
Egypt,1992,Armoured vehicles,173.75
Egypt,1992,Missiles,121.85
Egypt,1992,Sensors,72.08
Egypt,1993,Aircraft,568.15
Egypt,1993,Armoured vehicles,320.75
Egypt,1993,Artillery,6.0
Egypt,1993,Missiles,72.0
Egypt,1993,Sensors,14.28
Egypt,1993,Ships,25.0
Egypt,1994,Aircraft,738.0
Egypt,1994,Armoured vehicles,619.73
Egypt,1994,Artillery,63.0
Egypt,1994,Engines,9.75
Egypt,1994,Missiles,142.0
Egypt,1994,Sensors,4.76
Egypt,1994,Ships,220.0
Egypt,1995,Aircraft,1051.5
Egypt,1995,Armoured vehicles,505.32000000000005
Egypt,1995,Artillery,7.0
Egypt,1995,Engines,9.75
Egypt,1995,Missiles,55.7
Egypt,1995,Sensors,15.0
Egypt,1996,Aircraft,114.0
Egypt,1996,Armoured vehicles,400.0
Egypt,1996,Engines,6.5
Egypt,1996,Missiles,92.45
Egypt,1996,Sensors,24.0
Egypt,1996,Ships,120.0
Egypt,1997,Air-defence systems,22.560000000000002
Egypt,1997,Aircraft,129.0
Egypt,1997,Armoured vehicles,450.2
Egypt,1997,Artillery,3.0
Egypt,1997,Engines,4.8
Egypt,1997,Missiles,79.68
Egypt,1997,Sensors,24.0
Egypt,1997,Ships,169.5
Egypt,1998,Air-defence systems,23.1
Egypt,1998,Aircraft,105.0
Egypt,1998,Armoured vehicles,84.0
Egypt,1998,Artillery,24.0
Egypt,1998,Missiles,113.1
Egypt,1998,Ships,120.0
Egypt,1999,Air-defence systems,46.2
Egypt,1999,Aircraft,186.0
Egypt,1999,Missiles,100.9
Egypt,1999,Ships,120.0
Egypt,2000,Air-defence systems,86.2
Egypt,2000,Aircraft,484.5
Egypt,2000,Armoured vehicles,30.0
Egypt,2000,Artillery,24.0
Egypt,2000,Missiles,193.28
Egypt,2001,Air-defence systems,85.05
Egypt,2001,Aircraft,541.5
Egypt,2001,Armoured vehicles,68.65
Egypt,2001,Engines,3.0
Egypt,2001,Missiles,59.88
Egypt,2001,Sensors,30.0
Egypt,2002,Aircraft,142.5
Egypt,2002,Armoured vehicles,243.41
Egypt,2002,Engines,11.4
Egypt,2002,Missiles,23.4
Egypt,2002,Sensors,54.0
Egypt,2003,Aircraft,76.61
Egypt,2003,Armoured vehicles,212.2
Egypt,2003,Artillery,2.4
Egypt,2003,Engines,15.0
Egypt,2003,Sensors,39.0
Egypt,2004,Aircraft,187.6
Egypt,2004,Armoured vehicles,229.0
Egypt,2004,Artillery,58.4
Egypt,2004,Engines,15.0
Egypt,2004,Naval weapons,4.62
Egypt,2005,Aircraft,154.0
Egypt,2005,Armoured vehicles,226.2
Egypt,2005,Artillery,85.74
Egypt,2005,Engines,3.6
Egypt,2005,Missiles,42.84
Egypt,2005,Naval weapons,9.24
Egypt,2005,Sensors,77.0
Egypt,2006,Aircraft,154.0
Egypt,2006,Armoured vehicles,177.0
Egypt,2006,Artillery,2.0
Egypt,2006,Missiles,41.84
Egypt,2006,Naval weapons,4.62
Egypt,2006,Sensors,61.0
Egypt,2007,Armoured vehicles,202.0
Egypt,2007,Artillery,80.5
Egypt,2007,Engines,6.0
Egypt,2007,Missiles,16.0
Egypt,2007,Sensors,16.0
Egypt,2007,Ships,43.41
Egypt,2008,Air-defence systems,15.75
Egypt,2008,Armoured vehicles,160.0
Egypt,2008,Artillery,5.0
Egypt,2008,Engines,6.0
Egypt,2008,Missiles,52.28
Egypt,2008,Sensors,16.0
Egypt,2009,Engines,6.0
Egypt,2009,Missiles,10.0
Egypt,2010,Aircraft,73.65
Egypt,2010,Armoured vehicles,140.0
Egypt,2010,Engines,6.0
Egypt,2010,Missiles,20.0
Egypt,2010,Ships,9.0
Egypt,2011,Armoured vehicles,140.0
Egypt,2011,Missiles,20.0
Egypt,2012,Aircraft,25.0
Egypt,2012,Armoured vehicles,140.0
Egypt,2012,Missiles,32.4
Egypt,2013,Aircraft,248.0
Egypt,2013,Armoured vehicles,80.0
Egypt,2013,Missiles,34.0
Egypt,2013,Sensors,23.0
Egypt,2013,Ships,153.0
Egypt,2014,Aircraft,155.0
Egypt,2014,Missiles,8.8
Egypt,2014,Ships,18.0
Egypt,2015,Aircraft,372.0
Egypt,2015,Armoured vehicles,47.8
Egypt,2015,Engines,7.0
Egypt,2015,Missiles,10.46
Egypt,2015,Sensors,8.0
Egypt,2015,Ships,153.0
Egypt,2016,Armoured vehicles,150.66
Egypt,2016,Missiles,8.9
Egypt,2016,Ships,18.0
Egypt,2017,Armoured vehicles,120.2
Egypt,2017,Missiles,8.9
Egypt,2017,Ships,18.0
Egypt,2018,Armoured vehicles,132.1
Egypt,2018,Sensors,12.4
Egypt,2018,Ships,18.0
Egypt,2019,Armoured vehicles,117.4
Egypt,2019,Sensors,10.0
Egypt,2019,Ships,13.5
Egypt,2020,Armoured vehicles,103.4
Egypt,2020,Engines,7.0
Egypt,2020,Sensors,15.0
Egypt,2020,Ships,9.0
Egypt,2021,Armoured vehicles,11.4
Egypt,2021,Engines,7.0
Egypt,2021,Missiles,5.0
Egypt,2021,Sensors,15.0
Egypt,2021,Ships,9.0
Egypt,2022,Armoured vehicles,11.4
Egypt,2022,Engines,7.0
Egypt,2022,Missiles,15.0
Egypt,2022,Ships,9.0
Egypt,2023,Armoured vehicles,8.8
Egypt,2023,Engines,14.0
Egypt,2023,Missiles,12.5
Egypt,2023,Ships,39.3
Egypt,2024,Missiles,12.5
Egypt,2024,Ships,13.5
El Salvador,1991,Aircraft,20.630000000000003
El Salvador,1992,Aircraft,4.25
El Salvador,1995,Aircraft,4.25
El Salvador,1996,Aircraft,4.25
El Salvador,1998,Aircraft,1.5
El Salvador,2002,Aircraft,15.0
El Salvador,2002,Ships,4.0
El Salvador,2003,Aircraft,10.0
El Salvador,2009,Armoured vehicles,2.34
El Salvador,2010,Armoured vehicles,1.56
El Salvador,2011,Armoured vehicles,1.56
El Salvador,2012,Aircraft,2.1
El Salvador,2012,Armoured vehicles,1.43
El Salvador,2013,Armoured vehicles,1.43
El Salvador,2014,Armoured vehicles,1.43
El Salvador,2017,Aircraft,0.7
El Salvador,2020,Artillery,4.08
El Salvador,2021,Ships,4.25
El Salvador,2022,Aircraft,6.5
El Salvador,2023,Aircraft,1.0
El Salvador,2023,Engines,0.55
El Salvador,2024,Aircraft,0.2
Eq. Guinea,2007,Aircraft,0.8
Eq. Guinea,2009,Engines,0.5
Eq. Guinea,2014,Engines,10.0
Estonia,1997,Ships,4.0
Estonia,2002,Aircraft,1.0
Estonia,2003,Sensors,11.0
Estonia,2015,Missiles,2.4
Estonia,2016,Missiles,2.4
Estonia,2017,Missiles,2.4
Estonia,2019,Aircraft,2.2
Estonia,2020,Missiles,3.84
Estonia,2021,Armoured vehicles,2.25
Ethiopia,1997,Aircraft,36.8
Ethiopia,2014,Aircraft,9.6
Ethiopia,2018,Aircraft,9.6
Finland,1992,Missiles,36.0
Finland,1993,Missiles,36.0
Finland,1995,Aircraft,150.0
Finland,1996,Aircraft,337.5
Finland,1996,Missiles,6.0
Finland,1997,Aircraft,375.0
Finland,1997,Engines,4.4
Finland,1997,Missiles,12.0
Finland,1998,Aircraft,487.5
Finland,1998,Engines,4.4
Finland,1998,Missiles,43.6
Finland,1999,Aircraft,675.0
Finland,1999,Engines,4.4
Finland,1999,Missiles,82.0
Finland,2000,Aircraft,375.0
Finland,2000,Engines,4.4
Finland,2000,Missiles,87.19999999999999
Finland,2002,Missiles,4.8
Finland,2008,Missiles,9.0
Finland,2009,Missiles,9.0
Finland,2010,Missiles,13.4
Finland,2011,Missiles,1.92
Finland,2012,Missiles,7.8
Finland,2013,Missiles,5.4
Finland,2013,Sensors,20.0
Finland,2014,Missiles,23.6
Finland,2014,Sensors,20.0
Finland,2015,Missiles,78.4
Finland,2015,Sensors,20.0
Finland,2016,Missiles,9.56
Finland,2017,Missiles,6.0
Finland,2018,Missiles,7.68
Finland,2018,Sensors,25.0
Finland,2019,Missiles,36.16
Finland,2020,Missiles,76.0
France,1990,Artillery,14.4
France,1990,Missiles,11.25
France,1991,Aircraft,778.0
France,1991,Artillery,18.0
France,1991,Engines,5.0
France,1991,Missiles,11.25
France,1992,Aircraft,278.0
France,1992,Artillery,18.0
France,1992,Engines,3.0
France,1992,Missiles,11.25
France,1993,Artillery,7.2
France,1993,Missiles,11.25
France,1994,Artillery,4.8
France,1995,Artillery,2.4
France,1995,Missiles,2.5
France,1996,Missiles,2.5
France,1997,Aircraft,79.2
France,1997,Missiles,2.5
France,1998,Aircraft,113.25
France,1998,Engines,8.5
France,1998,Missiles,12.5
France,1999,Aircraft,73.65
France,1999,Engines,13.0
France,2000,Engines,13.0
France,2000,Missiles,50.0
France,2001,Engines,11.0
France,2001,Missiles,50.0
France,2002,Engines,13.0
France,2003,Aircraft,4.0
France,2003,Engines,8.5
France,2004,Aircraft,77.65
France,2005,Missiles,2.0
France,2006,Missiles,2.0
France,2008,Armoured vehicles,1.75
France,2010,Engines,28.0
France,2010,Missiles,25.8
France,2011,Engines,1.0
France,2011,Missiles,21.0
France,2012,Aircraft,3.52
France,2012,Engines,8.0
France,2012,Missiles,24.85
France,2013,Aircraft,13.4
France,2013,Engines,6.0
France,2013,Missiles,29.009999999999998
France,2014,Missiles,17.439999999999998
France,2015,Aircraft,6.7
France,2015,Engines,7.0
France,2015,Missiles,2.0
France,2016,Aircraft,13.4
France,2016,Engines,7.0
France,2016,Missiles,10.0
France,2017,Aircraft,47.1
France,2017,Engines,8.5
France,2017,Missiles,11.04
France,2018,Aircraft,40.0
France,2018,Engines,8.5
France,2018,Missiles,11.04
France,2019,Aircraft,45.0
France,2019,Engines,8.5
France,2020,Aircraft,98.3
France,2020,Engines,1.5
France,2021,Engines,7.0
France,2022,Engines,10.0
France,2022,Missiles,2.5
France,2023,Engines,6.45
France,2024,Aircraft,2.8
France,2024,Engines,5.15
Gabon,1990,Engines,1.0
Gabon,2010,Engines,0.72
Georgia,2001,Aircraft,6.29
Georgia,2008,Engines,1.0
Georgia,2009,Engines,2.5
Georgia,2014,Armoured vehicles,1.4
Georgia,2017,Ships,7.36
Georgia,2018,Missiles,6.15
Georgia,2019,Missiles,6.15
Georgia,2022,Missiles,2.46
Georgia,2024,Engines,2.3
Germany,1990,Air-defence systems,188.0
Germany,1990,Artillery,48.0
Germany,1990,Engines,14.0
Germany,1990,Missiles,362.5
Germany,1990,Naval weapons,5.0
Germany,1990,Sensors,60.0
Germany,1991,Air-defence systems,235.0
Germany,1991,Artillery,64.8
Germany,1991,Missiles,287.5
Germany,1991,Sensors,61.0
Germany,1992,Air-defence systems,235.0
Germany,1992,Artillery,64.8
Germany,1992,Missiles,287.5
Germany,1992,Sensors,62.75
Germany,1993,Air-defence systems,235.0
Germany,1993,Missiles,241.0
Germany,1993,Sensors,48.15
Germany,1994,Engines,14.0
Germany,1994,Missiles,283.65
Germany,1994,Naval weapons,20.0
Germany,1994,Sensors,65.75
Germany,1995,Engines,14.0
Germany,1995,Missiles,77.85
Germany,1995,Naval weapons,20.0
Germany,1995,Sensors,76.75
Germany,1996,Engines,28.0
Germany,1996,Missiles,52.5
Germany,1996,Naval weapons,40.0
Germany,1996,Sensors,43.75
Germany,1997,Aircraft,12.0
Germany,1997,Missiles,48.0
Germany,1998,Air-defence systems,225.6
Germany,1998,Missiles,384.2
Germany,1998,Sensors,8.0
Germany,1999,Missiles,68.5
Germany,1999,Sensors,6.0
Germany,2000,Missiles,68.0
Germany,2000,Sensors,4.5
Germany,2001,Missiles,99.25
Germany,2002,Missiles,42.25
Germany,2003,Engines,0.15
Germany,2003,Missiles,21.4
Germany,2004,Engines,14.3
Germany,2004,Missiles,33.8
Germany,2004,Naval weapons,40.0
Germany,2005,Engines,7.45
Germany,2005,Missiles,23.8
Germany,2005,Naval weapons,20.0
Germany,2006,Missiles,8.8
Germany,2007,Missiles,8.8
Germany,2008,Air-defence systems,220.0
Germany,2008,Engines,0.99
Germany,2008,Missiles,34.400000000000006
Germany,2009,Air-defence systems,275.0
Germany,2009,Engines,1.02
Germany,2009,Missiles,35.2
Germany,2010,Air-defence systems,220.0
Germany,2010,Engines,0.99
Germany,2010,Missiles,34.4
Germany,2011,Engines,0.21
Germany,2011,Missiles,34.4
Germany,2012,Missiles,25.4
Germany,2013,Missiles,42.6
Germany,2014,Missiles,46.2
Germany,2015,Missiles,5.0
Germany,2016,Missiles,5.0
Germany,2017,Missiles,3.0
Germany,2018,Missiles,2.0
Germany,2019,Engines,7.0
Germany,2020,Engines,7.0
Germany,2020,Missiles,48.0
Germany,2020,Sensors,10.0
Germany,2021,Aircraft,40.0
Germany,2021,Engines,7.0
Germany,2021,Missiles,57.16
Germany,2021,Sensors,10.0
Germany,2022,Aircraft,80.0
Germany,2022,Engines,10.0
Germany,2022,Missiles,112.16
Germany,2022,Sensors,10.0
Germany,2023,Missiles,144.06
Germany,2023,Sensors,6.0
Germany,2024,Aircraft,135.0
Germany,2024,Engines,3.0
Germany,2024,Missiles,61.66
Ghana,2001,Ships,8.0
Ghana,2007,Engines,2.4
Ghana,2014,Engines,2.5
Ghana,2023,Ships,3.36
Greece,1990,Aircraft,612.8
Greece,1990,Armoured vehicles,89.5
Greece,1990,Artillery,6.6
Greece,1990,Missiles,23.2
Greece,1990,Ships,33.41
Greece,1991,Aircraft,302.4
Greece,1991,Armoured vehicles,19.5
Greece,1991,Artillery,6.6
Greece,1991,Missiles,20.0
Greece,1992,Aircraft,197.89
Greece,1992,Armoured vehicles,280.8
Greece,1992,Artillery,31.68
Greece,1992,Engines,14.0
Greece,1992,Missiles,69.5
Greece,1992,Naval weapons,24.25
Greece,1992,Sensors,7.5
Greece,1992,Ships,770.0
Greece,1993,Aircraft,25.15
Greece,1993,Armoured vehicles,259.94
Greece,1993,Missiles,68.5
Greece,1993,Naval weapons,7.0
Greece,1994,Aircraft,101.0
Greece,1994,Armoured vehicles,46.08
Greece,1994,Artillery,10.0
Greece,1994,Missiles,39.2
Greece,1994,Naval weapons,7.0
Greece,1995,Aircraft,416.8
Greece,1995,Armoured vehicles,33.5
Greece,1995,Artillery,10.8
Greece,1995,Engines,2.25
Greece,1995,Missiles,57.74
Greece,1995,Naval weapons,7.0
Greece,1996,Aircraft,25.4
Greece,1996,Engines,14.0
Greece,1996,Missiles,30.9
Greece,1996,Naval weapons,24.25
Greece,1996,Sensors,7.5
Greece,1997,Aircraft,572.4
Greece,1997,Artillery,10.8
Greece,1997,Missiles,42.16
Greece,1997,Naval weapons,7.0
Greece,1997,Sensors,13.0
Greece,1998,Aircraft,747.0
Greece,1998,Armoured vehicles,0.6
Greece,1998,Engines,28.0
Greece,1998,Missiles,131.22
Greece,1998,Naval weapons,48.5
Greece,1998,Sensors,29.0
Greece,1999,Air-defence systems,56.4
Greece,1999,Aircraft,31.0
Greece,1999,Artillery,15.0
Greece,1999,Missiles,142.8
Greece,1999,Sensors,29.0
Greece,2000,Aircraft,17.2
Greece,2000,Armoured vehicles,3.2
Greece,2000,Artillery,34.6
Greece,2000,Missiles,210.0
Greece,2001,Aircraft,177.4
Greece,2001,Artillery,4.0
Greece,2001,Missiles,65.9
Greece,2002,Air-defence systems,47.0
Greece,2002,Aircraft,40.7
Greece,2002,Artillery,5.6
Greece,2002,Missiles,90.7
Greece,2003,Air-defence systems,141.0
Greece,2003,Aircraft,1309.4
Greece,2003,Missiles,52.31
Greece,2003,Sensors,32.75
Greece,2004,Air-defence systems,94.0
Greece,2004,Aircraft,654.0
Greece,2004,Armoured vehicles,1.2
Greece,2004,Engines,5.6
Greece,2004,Missiles,17.439999999999998
Greece,2004,Naval weapons,5.6
Greece,2004,Sensors,50.25
Greece,2005,Armoured vehicles,12.8
Greece,2005,Engines,13.8
Greece,2005,Missiles,49.08
Greece,2005,Sensors,26.25
Greece,2006,Engines,3.0
Greece,2006,Missiles,17.28
Greece,2007,Aircraft,186.0
Greece,2007,Engines,12.0
Greece,2007,Sensors,12.0
Greece,2007,Ships,43.41
Greece,2008,Missiles,4.8
Greece,2009,Aircraft,806.0
Greece,2009,Missiles,110.8
Greece,2009,Sensors,12.0
Greece,2010,Aircraft,124.0
Greece,2010,Armoured vehicles,3.52
Greece,2010,Missiles,19.25
Greece,2010,Sensors,4.0
Greece,2011,Missiles,15.3
Greece,2011,Sensors,4.0
Greece,2012,Missiles,2.5
Greece,2012,Sensors,4.0
Greece,2014,Armoured vehicles,58.400000000000006
Greece,2014,Artillery,0.2
Greece,2014,Missiles,2.4
Greece,2015,Armoured vehicles,16.76
Greece,2015,Missiles,75.6
Greece,2016,Aircraft,21.6
Greece,2017,Aircraft,21.6
Greece,2017,Engines,3.6
Greece,2018,Aircraft,21.6
Greece,2018,Engines,4.5
Greece,2018,Missiles,7.2
Greece,2019,Aircraft,79.2
Greece,2019,Sensors,8.0
Greece,2020,Missiles,1.0
Greece,2021,Armoured vehicles,7.04
Greece,2022,Aircraft,49.5
Greece,2022,Armoured vehicles,64.0
Greece,2022,Sensors,10.0
Greece,2023,Engines,14.2
Greece,2023,Sensors,25.0
Greece,2023,Ships,14.72
Greece,2024,Armoured vehicles,120.96
Greece,2024,Sensors,37.5
Guatemala,1990,Engines,0.09
Guatemala,1991,Engines,0.09
Guatemala,1993,Aircraft,12.75
Guatemala,1994,Aircraft,4.25
Guatemala,1995,Aircraft,4.25
Guatemala,2018,Aircraft,4.28
Guatemala,2019,Aircraft,1.0
Guatemala,2022,Aircraft,10.0
Guatemala,2023,Aircraft,0.74
Guatemala,2023,Armoured vehicles,0.56
Guatemala,2023,Ships,4.25
Guyana,2021,Aircraft,5.0
Guyana,2023,Aircraft,5.0
Guyana,2024,Ships,4.6
Honduras,2008,Aircraft,0.4
Honduras,2011,Aircraft,0.2
Honduras,2012,Aircraft,0.2
Honduras,2015,Aircraft,2.0
Honduras,2018,Aircraft,1.0
Honduras,2020,Aircraft,0.48
Honduras,2021,Ships,4.25
Hungary,2006,Engines,17.6
Hungary,2006,Missiles,12.0
Hungary,2007,Engines,13.2
Hungary,2007,Missiles,12.0
Hungary,2009,Armoured vehicles,1.05
Hungary,2009,Missiles,3.0
Hungary,2010,Armoured vehicles,6.19
Hungary,2010,Missiles,12.0
Hungary,2011,Armoured vehicles,3.6300000000000003
Hungary,2013,Armoured vehicles,1.54
Hungary,2023,Missiles,30.0
Hungary,2023,Sensors,10.0
Hungary,2024,Engines,6.0
Hungary,2024,Missiles,94.0
Hungary,2024,Sensors,25.0
India,1994,Missiles,6.3
India,2006,Sensors,80.0
India,2007,Aircraft,14.4
India,2007,Sensors,16.0
India,2007,Ships,53.3
India,2010,Aircraft,40.0
India,2010,Engines,14.0
India,2011,Aircraft,200.0
India,2011,Engines,14.0
India,2012,Aircraft,125.0
India,2012,Engines,14.0
India,2013,Aircraft,950.0
India,2013,Missiles,33.0
India,2014,Aircraft,1075.0
India,2014,Missiles,40.0
India,2015,Aircraft,250.0
India,2015,Missiles,11.2
India,2016,Engines,6.6
India,2016,Missiles,34.0
India,2017,Aircraft,240.0
India,2017,Engines,11.4
India,2017,Missiles,15.6
India,2018,Engines,13.2
India,2018,Missiles,12.0
India,2019,Aircraft,635.0
India,2019,Engines,20.65
India,2019,Missiles,79.97
India,2019,Sensors,18.0
India,2020,Aircraft,313.0
India,2020,Engines,13.25
India,2020,Missiles,71.57
India,2020,Sensors,18.0
India,2021,Aircraft,299.5
India,2021,Engines,13.2
India,2022,Aircraft,174.5
India,2022,Engines,41.2
India,2022,Missiles,10.75
India,2023,Aircraft,49.5
India,2023,Engines,13.2
India,2023,Missiles,16.0
India,2024,Aircraft,94.5
India,2024,Missiles,7.5
Indonesia,1990,Aircraft,185.85
Indonesia,1990,Missiles,2.25
Indonesia,1991,Missiles,2.25
Indonesia,1994,Engines,3.0
Indonesia,1995,Engines,3.0
Indonesia,1996,Engines,1.0
Indonesia,1996,Sensors,15.0
Indonesia,1997,Aircraft,15.0
Indonesia,1997,Sensors,4.5
Indonesia,1998,Engines,0.15
Indonesia,1998,Sensors,4.5
Indonesia,1999,Aircraft,5.6
Indonesia,1999,Engines,0.3
Indonesia,1999,Sensors,15.0
Indonesia,2000,Engines,1.15
Indonesia,2002,Engines,0.5
Indonesia,2003,Engines,5.5
Indonesia,2004,Engines,0.5
Indonesia,2005,Engines,0.5
Indonesia,2006,Aircraft,4.2
Indonesia,2006,Engines,1.0
Indonesia,2006,Sensors,4.5
Indonesia,2007,Engines,10.0
Indonesia,2007,Sensors,4.5
Indonesia,2008,Engines,10.0
Indonesia,2011,Aircraft,0.36
Indonesia,2012,Aircraft,35.4
Indonesia,2013,Aircraft,60.96
Indonesia,2013,Engines,25.0
Indonesia,2014,Aircraft,124.05
Indonesia,2014,Engines,17.89
Indonesia,2014,Missiles,2.7
Indonesia,2014,Sensors,5.0
Indonesia,2015,Aircraft,77.6
Indonesia,2015,Engines,3.6
Indonesia,2015,Missiles,2.7
Indonesia,2016,Aircraft,94.05
Indonesia,2017,Aircraft,235.95
Indonesia,2017,Engines,0.12
Indonesia,2017,Missiles,3.5
Indonesia,2017,Sensors,6.0
Indonesia,2018,Aircraft,75.0
Indonesia,2018,Engines,2.25
Indonesia,2018,Missiles,6.02
Indonesia,2018,Sensors,6.0
Indonesia,2019,Aircraft,0.7
Indonesia,2019,Engines,1.15
Indonesia,2019,Missiles,2.64
Indonesia,2019,Sensors,7.0
Indonesia,2020,Aircraft,5.0
Indonesia,2020,Engines,0.6
Indonesia,2020,Missiles,62.7
Indonesia,2020,Sensors,23.0
Indonesia,2021,Aircraft,31.92
Indonesia,2021,Missiles,79.8
